"permalink","name","homepage_url","category_code","funding_total_usd","status","country_code","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","first_funding_at","last_funding_at","last_milestone_at","id"
"/company/1stgig-com","1stGig.com","http://www.1stgig.com","ecommerce",750000.0,"operating","USA","WI","TBD","Saratoga Springs",1.0,"8/1/09"," 2009-08 ","2009-Q3",2009.0,"10/1/12","10/1/12","10/5/14",51
"/company/1world-online","1World Online","http://1worldonline.com","enterprise",1500000.0,"operating","USA","CA","SF Bay","San Jose",2.0,"12/1/11"," 2011-12 ","2011-Q4",2011.0,"7/2/13","12/1/13","7/1/13",52
"/company/2-minutes","2 Minutes","http://www.2minutes.fr","games_video",1660000.0,"operating","FRA",,"Paris","Paris",1.0,"10/1/00"," 2000-10 ","2000-Q4",2000.0,"6/19/08","6/19/08",,53
"/company/20-20-mobile","20:20 Mobile","http://www.2020mobile.com","mobile",2.975E7,"operating","ARE",,"Crewe","Crewe, Cheshire",1.0,"9/1/06"," 2006-09 ","2006-Q3",2006.0,"7/4/08","7/4/08",,54
"/company/2080-media","2080 Media",,"news",4.1E7,"operating","USA","GA","Atlanta","Atlanta",5.0,"1/1/08"," 2008-01 ","2008-Q1",2008.0,"8/5/10","7/19/13",,55
"/company/20x200","20x200","http://www.20x200.com","ecommerce",2800000.0,"operating","USA","NY","New York","New York",2.0,"9/1/07"," 2007-09 ","2007-Q3",2007.0,"10/1/09","8/1/10","10/1/12",56
"/company/21cake-food-co","21Cake Food Co.","http://www.21cake.com","hospitality",1460000.0,"operating","CHN",,"China - Other",,1.0,"1/1/04"," 2004-01 ","2004-Q1",2004.0,"1/22/10","1/22/10",,57
"/company/21grams","21GRAMS","http://www.21grams.se","software",2580000.0,"operating","SWE",,"Stockholm","STOCKHOLM",1.0,,,,,"4/3/06","4/3/06","1/1/08",58
"/company/21vianet","21viaNet","http://www.ch.21vianet.com",,1.0E8,"ipo","CHN",,"China - Other",,3.0,,,,,"6/1/08","10/1/13","3/1/08",59
"/company/22nd-century-group","22nd Century Group","http://www.xxiicentury.com","biotech",4984750.0,"ipo","USA","NY","Clarence","Clarence",4.0,"1/1/98"," 1998-01 ","1998-Q1",1998.0,"12/28/10","11/16/12","7/24/13",60
"/company/2345-com","2345.com","http://www.2345.com",,1.1E7,"operating",,,"unknown",,2.0,,,,,"5/1/10","10/1/10",,61
"/company/23andme","23andMe","http://23andme.com","biotech",1.88328971E8,"operating","USA","CA","SF Bay","Mountain View",7.0,"4/1/06"," 2006-04 ","2006-Q2",2006.0,"5/1/07","12/21/12","12/6/13",62
