"company_permalink","company_name","company_category_code","company_country_code","company_state_code","company_region","company_city","investor_permalink","investor_name","investor_category_code","investor_country_code","investor_state_code","investor_region","investor_city","funding_round_type","funded_at","funded_month","funded_quarter","funded_year","raised_amount_usd","id"
"/company/gemini","Gemini Mobile Technologies","mobile","USA","CA","SF Bay","San Mateo","/company/access","Access",,"JPN",,"Chiyoda-ku","Chiyoda-ku, Tokyo","venture","5/31/07","2007-05","2007-Q2",2007.0,5000000.0,79
"/company/zoona","Zoona","mobile","ZMB",,"Lusaka","Lusaka","/company/accion-international","Accion","nonprofit","USA","MA","Boston","Boston","venture","3/2/12","2012-03","2012-Q1",2012.0,4000000.0,80
"/company/demystdata","DemystData","analytics","HKG",,"Hong Kong","Hong Kong","/company/accion-international","Accion","nonprofit","USA","MA","Boston","Boston","series-a","8/28/12","2012-08","2012-Q3",2012.0,,81
"/company/payclip","PayClip","mobile","USA","CA","SF Bay","Redwood City","/company/accion-international","Accion","nonprofit","USA","MA","Boston","Boston","series-a","5/28/13","2013-05","2013-Q2",2013.0,1500000.0,82
"/company/kopo-kopo","Kopo Kopo","ecommerce","KEN",,"Nairobi","Nairobi","/company/accion-international","Accion","nonprofit","USA","MA","Boston","Boston","series-a","11/12/13","2013-11","2013-Q4",2013.0,2600000.0,83
"/company/vigno","Vigno","ecommerce","DEU",,"Potsdam","Potsdam","/company/ace-ventures","Ace Ventures","consulting","DEU",,"Potsdam","Potsdam","angel","3/1/11","2011-03","2011-Q1",2011.0,,84
"/company/fuhu","Fuhu","enterprise","USA","CA","Los Angeles","El Segundo","/company/acer","Acer","hardware","TWN",,"Taipei","Taipei","series-b","5/7/09","2009-05","2009-Q2",2009.0,6250000.0,85
"/company/snapp","SNAPP'","mobile","FRA",,"Bruges","Bruges","/company/aci","ACI",,,,"unknown",,"venture","6/30/10","2010-06","2010-Q2",2010.0,1595230.0,86
"/company/corridor-pharmaceuticals","Corridor Pharmaceuticals","biotech","USA","MD","Baltimore","Towson","/company/acidophil","Acidophil","biotech","USA","MD","Baltimore","Baltimore","series-a","6/24/10","2010-06","2010-Q2",2010.0,1.3012475E7,87
"/company/corridor-pharmaceuticals","Corridor Pharmaceuticals","biotech","USA","MD","Baltimore","Towson","/company/acidophil","Acidophil","biotech","USA","MD","Baltimore","Baltimore","series-a","10/23/08","2008-10","2008-Q4",2008.0,2300000.0,88
"/company/stakeforce","Stakeforce","enterprise","USA","CA","San Diego","San Diego","/company/acina-investments","Acina Investments",,,,"unknown",,"angel","1/1/12","2012-01","2012-Q1",2012.0,10000.0,89
"/company/esolar","eSolar","cleantech","USA","CA","Los Angeles","Pasadena","/company/acme-group","ACME Group",,"IND",,"Mumbai","Mumbai","series-c+","1/1/09","2009-01","2009-Q1",2009.0,4.0E7,90
"/company/coalogix","CoaLogix","cleantech","USA","NC","Charlotte","Charlotte","/company/acorn-energy","Acorn Energy","cleantech",,,"unknown",,"venture","4/14/09","2009-04","2009-Q2",2009.0,1.15E7,91
"/company/sustainable-industrial-solutions","Sustainable Industrial Solutions","cleantech","USA","NC","Raleigh-Durham","Durham","/company/acorn-innovestments","Acorn Innovestments",,,,"unknown",,"angel","1/1/11","2011-01","2011-Q1",2011.0,300000.0,92
"/company/nprogress","nprogress","social","USA","CA","Los Angeles","Los Angeles","/company/activation-media","Activation Media","games_video","USA","NY","New York","New York","series-a","12/1/11","2011-12","2011-Q4",2011.0,1700000.0,93
"/company/krossover-intelligence","Krossover","software","USA","NY","New York","New York","/company/active-angels","Active Angels",,,,"unknown",,"series-a","10/15/11","2011-10","2011-Q4",2011.0,2500000.0,94
"/company/casterstats","CasterStats","software","BEL",,"Liege","Liege","/company/active-up","Active Up",,,,"unknown",,"angel","10/15/09","2009-10","2009-Q4",2009.0,631720.0,95
"/company/kupoya","Kupoya","advertising",,,"unknown",,"/company/actu-cci","ACTU-CCI",,,,"unknown",,"angel","4/6/12","2012-04","2012-Q2",2012.0,300000.0,96
"/company/kynetx","Kynetx","software","USA","UT","Salt Lake City","Lehi","/company/acxiom","Acxiom","software","USA","AR","Little Rock","Little Rock","series-a","10/29/09","2009-10","2009-Q4",2009.0,2000000.0,97
"/company/brand-affinity-technologies","Brand Affinity Technologies","advertising","USA","CA","Los Angeles","Irvine","/company/ad-pepper-media","ad pepper media","advertising","DEU",,"Nuremberg","Nuremberg","series-c+","8/24/10","2010-08","2010-Q3",2010.0,2.0E7,98
"/company/videovalis","Videovalis GmbH","advertising","DEU",,"K�_ln","K�_ln","/company/ad-pepper-media","ad pepper media","advertising","DEU",,"Nuremberg","Nuremberg","venture","8/28/10","2010-08","2010-Q3",2010.0,1271300.0,99
"/company/socialtyze","Socialtyze","analytics","USA","CA","Los Angeles","Los Angeles","/company/ad-pepper-media","ad pepper media","advertising","DEU",,"Nuremberg","Nuremberg","series-a","1/1/10","2010-01","2010-Q1",2010.0,1500000.0,100
